JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
OD|Operations diverses|OD202600001|20260101|215400|Materiel industriel, torrefacteur|||AN-2026|20260101|Torrefacteur 25 kg et hotte|146000,00|0,00|||20260101||
OD|Operations diverses|OD202600001|20260101|213500|Installations et agencements|||AN-2026|20260101|Agencement de la boutique|58400,00|0,00|||20260101||
OD|Operations diverses|OD202600001|20260101|218300|Materiel de bureau et informatique|||AN-2026|20260101|Materiel de bureau et informatique|11900,00|0,00|||20260101||
OD|Operations diverses|OD202600001|20260101|205000|Logiciels|||AN-2026|20260101|Logiciel de caisse et de gestion|6800,00|0,00|||20260101||
OD|Operations diverses|OD202600001|20260101|281540|Amortissements du materiel industriel|||AN-2026|20260101|Amortissements anterieurs, torrefacteur|0,00|43800,00|||20260101||
OD|Operations diverses|OD202600001|20260101|281350|Amortissements des agencements|||AN-2026|20260101|Amortissements anterieurs, agencement|0,00|17520,00|||20260101||
OD|Operations diverses|OD202600001|20260101|281830|Amortissements du materiel de bureau|||AN-2026|20260101|Amortissements anterieurs, bureau|0,00|5950,00|||20260101||
OD|Operations diverses|OD202600001|20260101|280500|Amortissements des logiciels|||AN-2026|20260101|Amortissements anterieurs, logiciel|0,00|3400,00|||20260101||
OD|Operations diverses|OD202600001|20260101|310000|Stock de cafe vert|||AN-2026|20260101|Stock de cafe vert au 31 decembre 2025|61450,00|0,00|||20260101||
OD|Operations diverses|OD202600001|20260101|320000|Stock d'emballages et fournitures|||AN-2026|20260101|Stock d'emballages au 31 decembre 2025|8260,00|0,00|||20260101||
OD|Operations diverses|OD202600001|20260101|355000|Stock de cafe torrefie|||AN-2026|20260101|Stock de cafe torrefie au 31 decembre 2025|24180,00|0,00|||20260101||
OD|Operations diverses|OD202600001|20260101|411000|Clients|||AN-2026|20260101|Clients professionnels au 31 decembre 2025|57300,00|0,00|||20260101||
OD|Operations diverses|OD202600001|20260101|512000|Banque|||AN-2026|20260101|Solde bancaire au 31 decembre 2025|84260,00|0,00|||20260101||
OD|Operations diverses|OD202600001|20260101|530000|Caisse|||AN-2026|20260101|Caisse de la boutique|1450,00|0,00|||20260101||
OD|Operations diverses|OD202600001|20260101|401000|Fournisseurs|||AN-2026|20260101|Fournisseurs au 31 decembre 2025|0,00|39870,00|||20260101||
OD|Operations diverses|OD202600001|20260101|431000|Securite sociale et organismes sociaux|||AN-2026|20260101|Charges sociales du 4e trimestre 2025|0,00|14260,00|||20260101||
OD|Operations diverses|OD202600001|20260101|445510|TVA a decaisser|||AN-2026|20260101|TVA de decembre 2025|0,00|6190,00|||20260101||
OD|Operations diverses|OD202600001|20260101|164000|Emprunts aupres des etablissements de credit|||AN-2026|20260101|Emprunt torrefacteur, solde|0,00|118400,00|||20260101||
OD|Operations diverses|OD202600001|20260101|101000|Capital social|||AN-2026|20260101|Capital social|0,00|60000,00|||20260101||
OD|Operations diverses|OD202600001|20260101|106100|Reserve legale|||AN-2026|20260101|Reserve legale|0,00|6000,00|||20260101||
OD|Operations diverses|OD202600001|20260101|110000|Report a nouveau|||AN-2026|20260101|Report a nouveau|0,00|144610,00|||20260101||
CA|Caisse|CA202600001|20260102|530000|Caisse|||CA202600001|20260102|Encaissements de la journee|488,48|0,00|||20260102||
CA|Caisse|CA202600001|20260102|701000|Ventes de cafe torrefie|||CA202600001|20260102|12.0 kg de cafe torrefie|0,00|335,36|||20260102||
CA|Caisse|CA202600001|20260102|445710|TVA collectee|||CA202600001|20260102|TVA collectee 5,5 %|0,00|18,44|||20260102||
CA|Caisse|CA202600001|20260102|706000|Prestations, bar et degustations|||CA202600001|20260102|Bar et degustations|0,00|122,44|||20260102||
CA|Caisse|CA202600001|20260102|445710|TVA collectee|||CA202600001|20260102|TVA collectee 10 %|0,00|12,24|||20260102||
ST|Stocks et production|ST202600001|20260102|713500|Variation des stocks de produits finis|||ST202600001|20260102|Destockage de produits finis|112,87|0,00|||20260102||
ST|Stocks et production|ST202600001|20260102|355000|Stock de cafe torrefie|||ST202600001|20260102|Stock de cafe torrefie|0,00|112,87|||20260102||
VE|Ventes|VE202600001|20260102|512000|Banque|||VE202600001|20260102|Encaissement Stripe|395,46|0,00|||20260102||
VE|Ventes|VE202600001|20260102|701000|Ventes de cafe torrefie|||VE202600001|20260102|13.6 kg de cafe torrefie|0,00|360,10|||20260102||
VE|Ventes|VE202600001|20260102|708500|Ports factures|||VE202600001|20260102|Ports factures|0,00|12,96|||20260102||
VE|Ventes|VE202600001|20260102|445710|TVA collectee|||VE202600001|20260102|TVA collectee 5,5 %|0,00|19,81|||20260102||
VE|Ventes|VE202600001|20260102|445710|TVA collectee|||VE202600001|20260102|TVA collectee 20 %|0,00|2,59|||20260102||
ST|Stocks et production|ST202600002|20260102|713500|Variation des stocks de produits finis|||ST202600002|20260102|Destockage de produits finis|128,08|0,00|||20260102||
ST|Stocks et production|ST202600002|20260102|355000|Stock de cafe torrefie|||ST202600002|20260102|Stock de cafe torrefie|0,00|128,08|||20260102||
ST|Stocks et production|ST202600003|20260102|603100|Variation des stocks de cafe vert|||TOR-001|20260102|Consommation de cafe vert|1170,12|0,00|||20260102||
ST|Stocks et production|ST202600003|20260102|310000|Stock de cafe vert|||TOR-001|20260102|Stock de cafe vert|0,00|1170,12|||20260102||
ST|Stocks et production|ST202600004|20260102|603200|Variation des stocks d'emballages|||TOR-001|20260102|Consommation d'emballages|123,89|0,00|||20260102||
ST|Stocks et production|ST202600004|20260102|320000|Stock d'emballages et fournitures|||TOR-001|20260102|Stock d'emballages|0,00|123,89|||20260102||
ST|Stocks et production|ST202600005|20260102|355000|Stock de cafe torrefie|||TOR-001|20260102|Stock de cafe torrefie, brassin TOR-001|1491,41|0,00|||20260102||
ST|Stocks et production|ST202600005|20260102|713500|Variation des stocks de produits finis|||TOR-001|20260102|Production stockee|0,00|1491,41|||20260102||
BQ|Banque|BQ202600001|20260102|401000|Fournisseurs|||BQ202600001|20260102|Fournisseurs|25931,07|0,00|||20260102||
BQ|Banque|BQ202600001|20260102|512000|Banque|||BQ202600001|20260102|Virements emis|0,00|25931,07|||20260102||
CA|Caisse|CA202600002|20260103|530000|Caisse|||CA202600002|20260103|Encaissements de la journee|520,30|0,00|||20260103||
CA|Caisse|CA202600002|20260103|701000|Ventes de cafe torrefie|||CA202600002|20260103|13.1 kg de cafe torrefie|0,00|364,65|||20260103||
CA|Caisse|CA202600002|20260103|445710|TVA collectee|||CA202600002|20260103|TVA collectee 5,5 %|0,00|20,06|||20260103||
CA|Caisse|CA202600002|20260103|706000|Prestations, bar et degustations|||CA202600002|20260103|Bar et degustations|0,00|123,26|||20260103||
CA|Caisse|CA202600002|20260103|445710|TVA collectee|||CA202600002|20260103|TVA collectee 10 %|0,00|12,33|||20260103||
ST|Stocks et production|ST202600006|20260103|713500|Variation des stocks de produits finis|||ST202600006|20260103|Destockage de produits finis|122,73|0,00|||20260103||
ST|Stocks et production|ST202600006|20260103|355000|Stock de cafe torrefie|||ST202600006|20260103|Stock de cafe torrefie|0,00|122,73|||20260103||
CA|Caisse|CA202600003|20260105|530000|Caisse|||CA202600003|20260105|Encaissements de la journee|472,40|0,00|||20260105||
CA|Caisse|CA202600003|20260105|701000|Ventes de cafe torrefie|||CA202600003|20260105|12.8 kg de cafe torrefie|0,00|357,40|||20260105||
CA|Caisse|CA202600003|20260105|445710|TVA collectee|||CA202600003|20260105|TVA collectee 5,5 %|0,00|19,66|||20260105||
CA|Caisse|CA202600003|20260105|706000|Prestations, bar et degustations|||CA202600003|20260105|Bar et degustations|0,00|86,67|||20260105||
CA|Caisse|CA202600003|20260105|445710|TVA collectee|||CA202600003|20260105|TVA collectee 10 %|0,00|8,67|||20260105||
ST|Stocks et production|ST202600007|20260105|713500|Variation des stocks de produits finis|||ST202600007|20260105|Destockage de produits finis|120,29|0,00|||20260105||
ST|Stocks et production|ST202600007|20260105|355000|Stock de cafe torrefie|||ST202600007|20260105|Stock de cafe torrefie|0,00|120,29|||20260105||
VE|Ventes|VE202600002|20260105|512000|Banque|||VE202600002|20260105|Encaissement Stripe|451,11|0,00|||20260105||
VE|Ventes|VE202600002|20260105|701000|Ventes de cafe torrefie|||VE202600002|20260105|15.6 kg de cafe torrefie|0,00|410,78|||20260105||
VE|Ventes|VE202600002|20260105|708500|Ports factures|||VE202600002|20260105|Ports factures|0,00|14,78|||20260105||
VE|Ventes|VE202600002|20260105|445710|TVA collectee|||VE202600002|20260105|TVA collectee 5,5 %|0,00|22,59|||20260105||
VE|Ventes|VE202600002|20260105|445710|TVA collectee|||VE202600002|20260105|TVA collectee 20 %|0,00|2,96|||20260105||
ST|Stocks et production|ST202600008|20260105|713500|Variation des stocks de produits finis|||ST202600008|20260105|Destockage de produits finis|146,11|0,00|||20260105||
ST|Stocks et production|ST202600008|20260105|355000|Stock de cafe torrefie|||ST202600008|20260105|Stock de cafe torrefie|0,00|146,11|||20260105||
VE|Ventes|VE202600003|20260105|411000|Clients|||FA-2026-0001|20260105|Client Epicerie Bonne Graine, facture FA-2026-0001|4146,08|0,00|||20260105||
VE|Ventes|VE202600003|20260105|701000|Ventes de cafe torrefie|||FA-2026-0001|20260105|255 kg de cafe torrefie|0,00|3929,93|||20260105||
VE|Ventes|VE202600003|20260105|445710|TVA collectee|||FA-2026-0001|20260105|TVA collectee 5,5 %|0,00|216,15|||20260105||
ST|Stocks et production|ST202600009|20260105|713500|Variation des stocks de produits finis|||ST202600009|20260105|Destockage de produits finis|2396,23|0,00|||20260105||
ST|Stocks et production|ST202600009|20260105|355000|Stock de cafe torrefie|||ST202600009|20260105|Stock de cafe torrefie|0,00|2396,23|||20260105||
ST|Stocks et production|ST202600010|20260105|603100|Variation des stocks de cafe vert|||TOR-002|20260105|Consommation de cafe vert|1170,12|0,00|||20260105||
ST|Stocks et production|ST202600010|20260105|310000|Stock de cafe vert|||TOR-002|20260105|Stock de cafe vert|0,00|1170,12|||20260105||
ST|Stocks et production|ST202600011|20260105|603200|Variation des stocks d'emballages|||TOR-002|20260105|Consommation d'emballages|128,58|0,00|||20260105||
ST|Stocks et production|ST202600011|20260105|320000|Stock d'emballages et fournitures|||TOR-002|20260105|Stock d'emballages|0,00|128,58|||20260105||
ST|Stocks et production|ST202600012|20260105|355000|Stock de cafe torrefie|||TOR-002|20260105|Stock de cafe torrefie, brassin TOR-002|1547,85|0,00|||20260105||
ST|Stocks et production|ST202600012|20260105|713500|Variation des stocks de produits finis|||TOR-002|20260105|Production stockee|0,00|1547,85|||20260105||
CA|Caisse|CA202600004|20260105|512000|Banque|||CA202600004|20260105|Remise de la semaine|2531,18|0,00|||20260105||
CA|Caisse|CA202600004|20260105|530000|Caisse|||CA202600004|20260105|Caisse de la boutique|0,00|2531,18|||20260105||
CA|Caisse|CA202600005|20260106|530000|Caisse|||CA202600005|20260106|Encaissements de la journee|494,02|0,00|||20260106||
CA|Caisse|CA202600005|20260106|701000|Ventes de cafe torrefie|||CA202600005|20260106|12.7 kg de cafe torrefie|0,00|353,49|||20260106||
CA|Caisse|CA202600005|20260106|445710|TVA collectee|||CA202600005|20260106|TVA collectee 5,5 %|0,00|19,44|||20260106||
CA|Caisse|CA202600005|20260106|706000|Prestations, bar et degustations|||CA202600005|20260106|Bar et degustations|0,00|110,08|||20260106||
CA|Caisse|CA202600005|20260106|445710|TVA collectee|||CA202600005|20260106|TVA collectee 10 %|0,00|11,01|||20260106||
ST|Stocks et production|ST202600013|20260106|713500|Variation des stocks de produits finis|||ST202600013|20260106|Destockage de produits finis|118,97|0,00|||20260106||
ST|Stocks et production|ST202600013|20260106|355000|Stock de cafe torrefie|||ST202600013|20260106|Stock de cafe torrefie|0,00|118,97|||20260106||
VE|Ventes|VE202600004|20260106|512000|Banque|||VE202600004|20260106|Encaissement Stripe|463,29|0,00|||20260106||
VE|Ventes|VE202600004|20260106|701000|Ventes de cafe torrefie|||VE202600004|20260106|16.0 kg de cafe torrefie|0,00|421,87|||20260106||
VE|Ventes|VE202600004|20260106|708500|Ports factures|||VE202600004|20260106|Ports factures|0,00|15,18|||20260106||
VE|Ventes|VE202600004|20260106|445710|TVA collectee|||VE202600004|20260106|TVA collectee 5,5 %|0,00|23,20|||20260106||
VE|Ventes|VE202600004|20260106|445710|TVA collectee|||VE202600004|20260106|TVA collectee 20 %|0,00|3,04|||20260106||
ST|Stocks et production|ST202600014|20260106|713500|Variation des stocks de produits finis|||ST202600014|20260106|Destockage de produits finis|150,05|0,00|||20260106||
ST|Stocks et production|ST202600014|20260106|355000|Stock de cafe torrefie|||ST202600014|20260106|Stock de cafe torrefie|0,00|150,05|||20260106||
ST|Stocks et production|ST202600015|20260106|603100|Variation des stocks de cafe vert|||TOR-003|20260106|Consommation de cafe vert|1170,12|0,00|||20260106||
ST|Stocks et production|ST202600015|20260106|310000|Stock de cafe vert|||TOR-003|20260106|Stock de cafe vert|0,00|1170,12|||20260106||
ST|Stocks et production|ST202600016|20260106|603200|Variation des stocks d'emballages|||TOR-003|20260106|Consommation d'emballages|125,34|0,00|||20260106||
ST|Stocks et production|ST202600016|20260106|320000|Stock d'emballages et fournitures|||TOR-003|20260106|Stock d'emballages|0,00|125,34|||20260106||
ST|Stocks et production|ST202600017|20260106|355000|Stock de cafe torrefie|||TOR-003|20260106|Stock de cafe torrefie, brassin TOR-003|1508,88|0,00|||20260106||
ST|Stocks et production|ST202600017|20260106|713500|Variation des stocks de produits finis|||TOR-003|20260106|Production stockee|0,00|1508,88|||20260106||
CA|Caisse|CA202600006|20260107|530000|Caisse|||CA202600006|20260107|Encaissements de la journee|462,89|0,00|||20260107||
CA|Caisse|CA202600006|20260107|701000|Ventes de cafe torrefie|||CA202600006|20260107|11.2 kg de cafe torrefie|0,00|312,20|||20260107||
CA|Caisse|CA202600006|20260107|445710|TVA collectee|||CA202600006|20260107|TVA collectee 5,5 %|0,00|17,17|||20260107||
CA|Caisse|CA202600006|20260107|706000|Prestations, bar et degustations|||CA202600006|20260107|Bar et degustations|0,00|121,38|||20260107||
CA|Caisse|CA202600006|20260107|445710|TVA collectee|||CA202600006|20260107|TVA collectee 10 %|0,00|12,14|||20260107||
